Game Number,Result,White Wins,Black Wins,Draws
705.0,1/2-1/2,,,
706.0,1/2-1/2,,,
707.0,1/2-1/2,,,
708.0,1-0,,,
709.0,1/2-1/2,,,
710.0,1/2-1/2,,,
711.0,1/2-1/2,,,
712.0,1/2-1/2,,,
713.0,1/2-1/2,,,
714.0,1-0,,,
715.0,1/2-1/2,,,
716.0,1/2-1/2,,,
717.0,1/2-1/2,,,
718.0,1-0,,,
719.0,1/2-1/2,,,
720.0,1/2-1/2,,,
721.0,1-0,,,
722.0,1/2-1/2,,,
723.0,1/2-1/2,,,
724.0,1/2-1/2,,,
725.0,1-0,,,
726.0,1-0,,,
727.0,1/2-1/2,,,
728.0,1/2-1/2,,,
729.0,1-0,,,
730.0,1/2-1/2,,,
731.0,1/2-1/2,,,
732.0,1/2-1/2,,,
733.0,1/2-1/2,,,
734.0,1/2-1/2,,,
735.0,1/2-1/2,,,
736.0,1/2-1/2,,,
737.0,1/2-1/2,,,
738.0,1/2-1/2,,,
739.0,1/2-1/2,,,
740.0,1-0,,,
741.0,1/2-1/2,,,
742.0,1/2-1/2,,,
743.0,1-0,,,
744.0,1/2-1/2,,,
745.0,1/2-1/2,,,
746.0,1/2-1/2,,,
747.0,1/2-1/2,,,
748.0,1/2-1/2,,,
749.0,1/2-1/2,,,
750.0,1/2-1/2,,,
751.0,0-1,,,
752.0,1-0,,,
753.0,1-0,,,
754.0,1/2-1/2,,,
755.0,0-1,,,
756.0,0-1,,,
757.0,1/2-1/2,,,
758.0,1/2-1/2,,,
759.0,1/2-1/2,,,
760.0,1/2-1/2,,,
761.0,1/2-1/2,,,
762.0,1/2-1/2,,,
763.0,1/2-1/2,,,
764.0,1-0,,,
765.0,1/2-1/2,,,
766.0,1/2-1/2,,,
767.0,1/2-1/2,,,
768.0,1/2-1/2,,,
769.0,1/2-1/2,,,
770.0,1/2-1/2,,,
771.0,1/2-1/2,,,
772.0,1/2-1/2,,,
773.0,1-0,,,
774.0,1/2-1/2,,,
775.0,1/2-1/2,,,
776.0,1-0,,,
777.0,1/2-1/2,,,
778.0,1/2-1/2,,,
779.0,1/2-1/2,,,
780.0,1/2-1/2,,,
781.0,1/2-1/2,,,
782.0,1/2-1/2,,,
783.0,1-0,,,
784.0,1/2-1/2,,,
785.0,1-0,,,
786.0,1/2-1/2,,,
787.0,1/2-1/2,,,
788.0,0-1,,,
789.0,1-0,,,
790.0,1/2-1/2,,,
791.0,1/2-1/2,,,
792.0,1/2-1/2,,,
793.0,1/2-1/2,,,
794.0,1/2-1/2,,,
795.0,1-0,,,
796.0,1-0,,,
797.0,1/2-1/2,,,
798.0,1-0,,,
799.0,1/2-1/2,,,
800.0,1/2-1/2,,,
801.0,1/2-1/2,,,
802.0,1/2-1/2,,,
803.0,1/2-1/2,,,
804.0,1/2-1/2,,,
805.0,1/2-1/2,,,
806.0,1/2-1/2,,,
807.0,1/2-1/2,,,
808.0,1/2-1/2,,,
809.0,1/2-1/2,,,
810.0,1/2-1/2,,,
811.0,1/2-1/2,,,
812.0,1/2-1/2,,,
813.0,1/2-1/2,,,
814.0,1/2-1/2,,,
815.0,1-0,,,
816.0,1/2-1/2,,,
817.0,1/2-1/2,,,
818.0,1/2-1/2,,,
819.0,1/2-1/2,,,
820.0,1-0,,,
821.0,1-0,,,
822.0,1/2-1/2,,,
823.0,1-0,,,
824.0,1/2-1/2,,,
825.0,1/2-1/2,,,
826.0,0-1,,,
827.0,1-0,,,
828.0,1/2-1/2,,,
829.0,1/2-1/2,,,
830.0,1/2-1/2,,,
831.0,1/2-1/2,,,
832.0,1/2-1/2,,,
833.0,1/2-1/2,,,
834.0,1/2-1/2,,,
835.0,1/2-1/2,,,
836.0,1/2-1/2,,,
837.0,0-1,,,
838.0,1/2-1/2,,,
839.0,1/2-1/2,,,
840.0,1/2-1/2,,,
841.0,1/2-1/2,,,
842.0,1/2-1/2,,,
843.0,1-0,,,
844.0,1/2-1/2,,,
845.0,1/2-1/2,,,
846.0,1/2-1/2,,,
847.0,1/2-1/2,,,
848.0,1/2-1/2,,,
849.0,1/2-1/2,,,
850.0,1/2-1/2,,,
851.0,1/2-1/2,,,
852.0,1/2-1/2,,,
853.0,1/2-1/2,,,
854.0,1/2-1/2,,,
855.0,1/2-1/2,,,
856.0,1/2-1/2,,,
857.0,1/2-1/2,,,
858.0,1/2-1/2,,,
859.0,1-0,,,
860.0,1/2-1/2,,,
861.0,1/2-1/2,,,
862.0,1/2-1/2,,,
863.0,*,,,
864.0,1/2-1/2,,,
865.0,1-0,,,
866.0,1/2-1/2,,,
867.0,1-0,,,
868.0,1/2-1/2,,,
869.0,1/2-1/2,,,
870.0,*,,,
871.0,1/2-1/2,,,
872.0,1/2-1/2,,,
873.0,*,,,
874.0,*,,,
875.0,1/2-1/2,,,
876.0,1/2-1/2,,,
877.0,1/2-1/2,,,
878.0,1-0,,,
879.0,1/2-1/2,,,
880.0,1/2-1/2,,,
881.0,1/2-1/2,,,
882.0,1/2-1/2,,,
883.0,1-0,,,
884.0,1/2-1/2,,,
885.0,1/2-1/2,,,
886.0,1/2-1/2,,,
887.0,1/2-1/2,,,
888.0,1/2-1/2,,,
889.0,1/2-1/2,,,
890.0,0-1,,,
891.0,1/2-1/2,,,
892.0,1/2-1/2,,,
893.0,1/2-1/2,,,
894.0,1/2-1/2,,,
895.0,1/2-1/2,,,
896.0,1-0,,,
897.0,1/2-1/2,,,
898.0,1-0,,,
899.0,1/2-1/2,,,
900.0,1/2-1/2,,,
901.0,1/2-1/2,,,
902.0,1/2-1/2,,,
903.0,1/2-1/2,,,
904.0,1/2-1/2,,,
905.0,1-0,,,
906.0,1/2-1/2,,,
907.0,1/2-1/2,,,
908.0,1/2-1/2,,,
909.0,1/2-1/2,,,
910.0,1/2-1/2,,,
911.0,1/2-1/2,,,
912.0,1/2-1/2,,,
913.0,1/2-1/2,,,
914.0,1/2-1/2,,,
915.0,1/2-1/2,,,
916.0,1/2-1/2,,,
917.0,1/2-1/2,,,
918.0,1/2-1/2,,,
919.0,1/2-1/2,,,
920.0,1/2-1/2,,,
921.0,1/2-1/2,,,
922.0,1/2-1/2,,,
923.0,1/2-1/2,,,
924.0,1/2-1/2,,,
925.0,1/2-1/2,,,
926.0,1/2-1/2,,,
927.0,1-0,,,
928.0,1/2-1/2,,,
929.0,1/2-1/2,,,
930.0,1/2-1/2,,,
931.0,1/2-1/2,,,
932.0,1/2-1/2,,,
933.0,1/2-1/2,,,
934.0,1/2-1/2,,,
935.0,1/2-1/2,,,
936.0,1/2-1/2,,,
937.0,1/2-1/2,,,
938.0,1/2-1/2,,,
939.0,0-1,,,
940.0,1-0,,,
941.0,1/2-1/2,,,
942.0,1/2-1/2,,,
943.0,1/2-1/2,,,
944.0,0-1,,,
945.0,1/2-1/2,,,
946.0,1/2-1/2,,,
947.0,1/2-1/2,,,
948.0,1/2-1/2,,,
949.0,1/2-1/2,,,
950.0,1/2-1/2,,,
951.0,1/2-1/2,,,
952.0,1/2-1/2,,,
953.0,1/2-1/2,,,
954.0,1/2-1/2,,,
955.0,1/2-1/2,,,
956.0,1/2-1/2,,,
957.0,1/2-1/2,,,
958.0,1/2-1/2,,,
959.0,1/2-1/2,,,
960.0,1/2-1/2,,,
961.0,1/2-1/2,,,
962.0,1/2-1/2,,,
963.0,1/2-1/2,,,
964.0,1-0,,,
965.0,1/2-1/2,,,
966.0,1/2-1/2,,,
967.0,1/2-1/2,,,
968.0,1/2-1/2,,,
969.0,1/2-1/2,,,
970.0,1/2-1/2,,,
971.0,1-0,,,
972.0,1/2-1/2,,,
973.0,1/2-1/2,,,
